ID,Date,Total Loss
1,5/24/2012 0:00,420400
2,2/19/2007 0:00,2000
3,6/27/2011 0:00,2000
4,12/20/2015 0:00,65000
5,11/16/2016 0:00,16100
6,8/9/2009 0:00,6500
7,1/6/2009 0:00,30000
8,9/11/2008 0:00,2000
9,12/4/2009 0:00,0
10,12/2/2007 0:00,6500
11,4/3/2005 0:00,6455
12,4/11/2014 0:00,8000
13,3/9/2015 0:00,8100
14,10/7/2013 0:00,0
15,9/3/2006 0:00,1425
16,7/4/2008 0:00,12800
17,2/11/2010 0:00,69400
18,10/24/2013 0:00,3200
19,1/30/2012 0:00,0
20,8/25/2015 0:00,0
21,10/25/2006 0:00,0
22,2/1/2014 0:00,0
23,5/9/2006 0:00,9950
24,10/22/2011 0:00,15300
25,3/26/2008 0:00,2010
26,7/4/2015 0:00,1500
27,5/22/2010 0:00,2500
28,8/26/2009 0:00,200
29,9/28/2008 0:00,5750
30,12/3/2016 0:00,8000
31,1/6/2016 0:00,5000
32,9/1/2012 0:00,0
33,2/18/2014 0:00,4500
34,11/11/2006 0:00,151700
35,4/16/2009 0:00,11500
36,7/20/2014 0:00,0
37,6/17/2015 0:00,3900
38,12/21/2009 0:00,164131
39,3/14/2010 0:00,50500
40,3/9/2008 0:00,24100
41,6/28/2005 0:00,5550
42,5/30/2007 0:00,5400
43,11/8/2011 0:00,500
44,10/5/2012 0:00,65400
45,8/24/2007 0:00,2000
46,10/6/2005 0:00,73300
47,1/9/2011 0:00,68000
48,8/18/2012 0:00,1700
49,5/5/2010 0:00,250500
50,1/14/2006 0:00,6650
51,10/1/2010 0:00,10450
52,7/22/2016 0:00,9000
53,11/26/2012 0:00,55000
54,6/17/2008 0:00,63590
55,3/6/2013 0:00,50
56,11/10/2013 0:00,25350
57,11/27/2005 0:00,2185
58,8/3/2006 0:00,86300
59,7/28/2011 0:00,0
60,3/7/2006 0:00,71450
61,6/14/2013 0:00,0
62,9/28/2015 0:00,1850
63,4/19/2011 0:00,1500
64,11/28/2006 0:00,7050
65,3/2/2012 0:00,10000
66,7/3/2014 0:00,500
67,12/16/2014 0:00,0
68,2/15/2006 0:00,858010
69,4/25/2014 0:00,0
70,1/16/2007 0:00,1900
71,9/12/2009 0:00,0
72,10/31/2009 0:00,4000
73,6/3/2015 0:00,2500
74,4/7/2006 0:00,15070
75,4/15/2015 0:00,0
76,2/5/2015 0:00,1100
77,4/2/2011 0:00,21500
78,1/31/2013 0:00,2000
79,10/29/2007 0:00,21000
80,8/23/2014 0:00,400
81,11/30/2008 0:00,5600
82,10/28/2014 0:00,4500
83,7/21/2007 0:00,2250
84,10/12/2008 0:00,20000
85,5/15/2014 0:00,0
86,7/11/2011 0:00,2100
87,7/8/2009 0:00,5800
88,3/26/2015 0:00,2000
89,5/17/2016 0:00,500
90,12/13/2012 0:00,0
91,9/4/2012 0:00,327000
92,8/25/2016 0:00,0
93,3/30/2009 0:00,500
94,5/18/2009 0:00,33100
95,12/20/2008 0:00,1500
96,7/24/2015 0:00,0
97,3/29/2016 0:00,0
98,3/8/2007 0:00,100
99,10/5/2011 0:00,15300
100,3/23/2013 0:00,1500
101,4/26/2007 0:00,17000
102,6/8/2010 0:00,98200
103,2/12/2011 0:00,15000
104,9/11/2015 0:00,0
105,11/27/2013 0:00,86000
106,7/2/2006 0:00,66600
107,5/26/2006 0:00,29080
108,8/20/2006 0:00,170500
109,12/23/2010 0:00,5000
110,1/15/2014 0:00,0
111,12/28/2005 0:00,40000
112,4/23/2005 0:00,25000
113,7/27/2010 0:00,7000
114,9/19/2005 0:00,23600
115,8/17/2011 0:00,1000
116,4/18/2010 0:00,0
117,8/1/2005 0:00,30400
118,12/27/2012 0:00,72600
119,2/28/2010 0:00,0
120,1/13/2012 0:00,178000
121,9/18/2012 0:00,21400
122,6/11/2005 0:00,50000
123,8/11/2016 0:00,8000
124,6/10/2012 0:00,2500
125,1/13/2005 0:00,6950
126,11/12/2007 0:00,11500
127,11/19/2016 0:00,56000
128,4/22/2012 0:00,1600
129,9/6/2006 0:00,19300
130,8/4/2007 0:00,257800
131,12/10/2011 0:00,43100
132,2/24/2009 0:00,0
133,1/22/2010 0:00,3500
134,7/7/2015 0:00,400
135,6/21/2009 0:00,19000
136,6/3/2016 0:00,0
137,5/19/2010 0:00,2200
138,11/24/2005 0:00,60500
139,9/21/2012 0:00,1200
